date,Microsoft
2012-12-20,81
2012-12-21,78
2012-12-22,75
2012-12-23,60
2012-12-24,70
2012-12-25,99
2012-12-26,96
2012-12-27,86
2012-12-28,77
2012-12-29,76
2012-12-30,62
2012-12-31,60
2013-01-01,63
2013-01-02,84
2013-01-03,84
2013-01-04,81
2013-01-05,67
2013-01-06,63
2013-01-07,91
2013-01-08,90
2013-01-09,97
2013-01-10,85
2013-01-11,79
2013-01-12,72
2013-01-13,60
2013-01-14,92
2013-01-15,100
2013-01-16,100
2013-01-17,88
2013-01-18,90
2013-01-19,71
2013-01-20,59
2013-01-21,75
2013-01-22,87
2013-01-23,91
2013-01-24,86
2013-01-25,87
2013-01-26,63
2013-01-27,68
2013-01-28,92
2013-01-29,98
2013-01-30,91
2013-01-31,98
2013-02-01,85
2013-02-02,61
2013-02-03,66
2013-02-04,80
2013-02-05,79
2013-02-06,67
2013-02-07,85
2013-02-08,83
2013-02-09,59
2013-02-10,48
2013-02-11,77
2013-02-12,76
2013-02-13,75
2013-02-14,72
2013-02-15,79
2013-02-16,58
2013-02-17,69
2013-02-18,81
2013-02-19,83
2013-02-20,100
2013-02-21,96
2013-02-22,75
2013-02-23,53
2013-02-24,67
2013-02-25,79
2013-02-26,99
2013-02-27,83
2013-02-28,80
2013-03-01,80
2013-03-02,78
2013-03-03,81
2013-03-04,77
2013-03-05,89
2013-03-06,87
2013-03-07,87
2013-03-08,96
2013-03-09,57
2013-03-10,68
2013-03-11,79
2013-03-12,84
2013-03-13,88
2013-03-14,94
2013-03-15,89
2013-03-16,71
2013-03-17,63
2013-03-18,91
2013-03-19,97
2013-03-20,81
2013-03-21,100
2013-03-22,88
2013-03-23,63
2013-03-24,71
2013-03-25,84
2013-03-26,95
2013-03-27,98
2013-03-28,85
2013-03-29,65
2013-03-30,64
2013-03-31,60
2013-04-01,75
2013-04-02,85
2013-04-03,92
2013-04-04,90
2013-04-05,86
2013-04-06,63
2013-04-07,65
2013-04-08,100
2013-04-09,88
2013-04-10,96
2013-04-11,94
2013-04-12,82
2013-04-13,65
2013-04-14,65
2013-04-15,81
2013-04-16,69
2013-04-17,83
2013-04-18,77
2013-04-19,92
2013-04-20,57
2013-04-21,53
2013-04-22,91
2013-04-23,94
2013-04-24,86
2013-04-25,88
2013-04-26,70
2013-04-27,59
2013-04-28,51
2013-04-29,75
2013-04-30,79
2013-05-01,68
2013-05-02,83
2013-05-03,82
2013-05-04,49
2013-05-05,51
2013-05-06,83
2013-05-07,100
2013-05-08,83
2013-05-09,68
2013-05-10,76
2013-05-11,58
2013-05-12,57
2013-05-13,85
2013-05-14,75
2013-05-15,75
2013-05-16,96
2013-05-17,74
2013-05-18,69
2013-05-19,56
2013-05-20,93
2013-05-21,99
2013-05-22,80
2013-05-23,82
2013-05-24,65
2013-05-25,61
2013-05-26,61
2013-05-27,71
2013-05-28,94
2013-05-29,83
2013-05-30,81
2013-05-31,77
2013-06-01,44
2013-06-02,44
2013-06-03,74
2013-06-04,60
2013-06-05,87
2013-06-06,78
2013-06-07,79
2013-06-08,64
2013-06-09,60
2013-06-10,78
2013-06-11,76
2013-06-12,81
2013-06-13,68
2013-06-14,88
2013-06-15,50
2013-06-16,54
2013-06-17,80
2013-06-18,96
2013-06-19,73
2013-06-20,75
2013-06-21,80
2013-06-22,52
2013-06-23,70
2013-06-24,92
2013-06-25,100
2013-06-26,91
2013-06-27,72
2013-06-28,72
2013-06-29,50
2013-06-30,69
2013-07-01,82
2013-07-02,72
2013-07-03,89
2013-07-04,72
2013-07-05,78
2013-07-06,57
2013-07-07,57
2013-07-08,89
2013-07-09,88
2013-07-10,95
2013-07-11,100
2013-07-12,80
2013-07-13,65
2013-07-14,62
2013-07-15,88
2013-07-16,94
2013-07-17,87
2013-07-18,83
2013-07-19,91
2013-07-20,63
2013-07-21,71
2013-07-22,81
2013-07-23,78
2013-07-24,94
2013-07-25,89
2013-07-26,86
2013-07-27,61
2013-07-28,60
2013-07-29,88
2013-07-30,96
2013-07-31,74
2013-08-01,87
2013-08-02,88
2013-08-03,53
2013-08-04,53
2013-08-05,81
2013-08-06,72
2013-08-07,82
2013-08-08,81
2013-08-09,74
2013-08-10,48
2013-08-11,69
2013-08-12,73
2013-08-13,86
2013-08-14,100
2013-08-15,79
2013-08-16,69
2013-08-17,66
2013-08-18,52
2013-08-19,94
2013-08-20,99
2013-08-21,79
2013-08-22,79
2013-08-23,81
2013-08-24,67
2013-08-25,67
2013-08-26,81
2013-08-27,85
2013-08-28,99
2013-08-29,91
2013-08-30,76
2013-08-31,75
2013-09-01,19
2013-09-02,27
2013-09-03,100
2013-09-04,51
2013-09-05,41
2013-09-06,31
2013-09-07,28
2013-09-08,29
2013-09-09,29
2013-09-10,32
2013-09-11,33
2013-09-12,33
2013-09-13,31
2013-09-14,20
2013-09-15,25
2013-09-16,32
2013-09-17,32
2013-09-18,31
2013-09-19,37
2013-09-20,27
2013-09-21,24
2013-09-22,24
2013-09-23,33
2013-09-24,31
2013-09-25,28
2013-09-26,32
2013-09-27,26
2013-09-28,21
2013-09-29,27
2013-09-30,35
2013-10-01,89
2013-10-02,80
2013-10-03,83
2013-10-04,82
2013-10-05,71
2013-10-06,68
2013-10-07,86
2013-10-08,84
2013-10-09,87
2013-10-10,90
2013-10-11,84
2013-10-12,56
2013-10-13,66
2013-10-14,68
2013-10-15,83
2013-10-16,81
2013-10-17,97
2013-10-18,96
2013-10-19,61
2013-10-20,59
2013-10-21,95
2013-10-22,93
2013-10-23,83
2013-10-24,75
2013-10-25,91
2013-10-26,63
2013-10-27,58
2013-10-28,84
2013-10-29,86
2013-10-30,100
2013-10-31,94
2013-11-01,77
2013-11-02,65
2013-11-03,54
2013-11-04,85
2013-11-05,74
2013-11-06,95
2013-11-07,85
2013-11-08,75
2013-11-09,71
2013-11-10,69
2013-11-11,70
2013-11-12,77
2013-11-13,76
2013-11-14,79
2013-11-15,77
2013-11-16,71
2013-11-17,68
2013-11-18,92
2013-11-19,84
2013-11-20,97
2013-11-21,100
2013-11-22,69
2013-11-23,67
2013-11-24,59
2013-11-25,87
2013-11-26,87
2013-11-27,85
2013-11-28,75
2013-11-29,77
2013-11-30,69
2013-12-01,66
2013-12-02,100
2013-12-03,96
2013-12-04,81
2013-12-05,69
2013-12-06,86
2013-12-07,73
2013-12-08,53
2013-12-09,94
2013-12-10,76
2013-12-11,93
2013-12-12,89
2013-12-13,74
2013-12-14,62
2013-12-15,63
2013-12-16,71
2013-12-17,84
2013-12-18,87
2013-12-19,81
2013-12-20,76
2013-12-21,65
2013-12-22,63
2013-12-23,66
2013-12-24,62
2013-12-25,88
2013-12-26,81
2013-12-27,69
2013-12-28,74
2013-12-29,66
2013-12-30,73
2013-12-31,88
2014-01-01,61
2014-01-02,89
2014-01-03,84
2014-01-04,56
2014-01-05,66
2014-01-06,83
2014-01-07,94
2014-01-08,100
2014-01-09,78
2014-01-10,92
2014-01-11,67
2014-01-12,69
2014-01-13,90
2014-01-14,88
2014-01-15,96
2014-01-16,94
2014-01-17,87
2014-01-18,63
2014-01-19,65
2014-01-20,87
2014-01-21,100
2014-01-22,84
2014-01-23,89
2014-01-24,83
2014-01-25,67
2014-01-26,71
2014-01-27,93
2014-01-28,86
2014-01-29,97
2014-01-30,79
2014-01-31,88
2014-02-01,63
2014-02-02,55
2014-02-03,91
2014-02-04,99
2014-02-05,100
2014-02-06,95
2014-02-07,81
2014-02-08,63
2014-02-09,49
2014-02-10,67
2014-02-11,81
2014-02-12,93
2014-02-13,83
2014-02-14,63
2014-02-15,61
2014-02-16,54
2014-02-17,75
2014-02-18,92
2014-02-19,86
2014-02-20,77
2014-02-21,77
2014-02-22,67
2014-02-23,65
2014-02-24,80
2014-02-25,85
2014-02-26,91
2014-02-27,83
2014-02-28,83
2014-03-01,71
2014-03-02,55
2014-03-03,78
2014-03-04,65
2014-03-05,81
2014-03-06,79
2014-03-07,78
2014-03-08,56
2014-03-09,56
2014-03-10,74
2014-03-11,86
2014-03-12,79
2014-03-13,74
2014-03-14,75
2014-03-15,58
2014-03-16,58
2014-03-17,78
2014-03-18,83
2014-03-19,78
